data_200
hosts,8,16,32,64,128
total master nodes,18677578,18677578,18677578,18677578,18677578
total mirror nodes,25421757,28041289,30531190,32775677,35564099
replication factor,2.36108,2.50133,2.63464,2.75481,2.90411

master nodes (median),2523146.0,1314997.0,637823.5,319975.0,158282.0
master nodes (average),2334697.25,1167348.625,583674.3125,291837.15625,145918.578125
master nodes (max),5113629,2611290,1319332,663494,332833
mirror nodes (median),2328470.0,1196115.0,694494.5,385406.5,207402.0
mirror nodes (average),3177719.625,1752580.5625,954099.6875,512119.953125,277844.5234375
mirror nodes (max),8779383,4592783,2338826,2061473,2635720

rounds,4,4,4,4,4
baseline time,9.99902532113523e-05,9.241203799010574e-05,8.235939247452391e-05,8.019988816935163e-05,7.321174483308692e-05
gluon time,0.00012776539271125003,0.0001135173820609375,0.000102439482355,9.73932065303125e-05,9.4360812704375e-05
gluon speedup,0.7826082720015616,0.8140783051224512,0.8039809513006975,0.8234649112244842,0.7758702233993422

Round 0
master access (median),0.0,0.0,0.0,0.0,0.0
master access (average),0.25,0.125,0.0625,0.03125,0.015625
master access (max),2,2,2,2,2
mirror access (median),0.0,0.0,0.0,0.0,0.0
mirror access (average),465337.25,232668.625,116334.3125,58167.15625,29083.578125
mirror access (max),3722698,3722698,3722698,3722698,3722698
mirror write (median),0.0,0.0,0.0,0.0,0.0
mirror write (average),232668.625,116334.3125,58167.15625,29083.578125,14541.7890625
mirror write (max),1861349,1861349,1861349,1861349,1861349
mirror nodes sending updates (median),0.0,0.0,0.0,0.0,0.0
mirror nodes sending updates (average),232668.625,116334.3125,58167.15625,29083.578125,14541.7890625
mirror nodes sending updates (max),1861349,1861349,1861349,1861349,1861349
master nodes receiving updates (median),74844.5,35926.5,3117.5,0.5,0.0
master nodes receiving updates (average),232668.625,116334.3125,58167.15625,29083.578125,14541.7890625
master nodes receiving updates (max),917364,569115,295706,172309,93588

baseline local time,3.011633231375e-05,1.86001413875e-05,9.658874635e-06,5.6126147325e-06,3.0443569087500002e-06
baseline remote time,5.816715625e-05,5.816715625e-05,5.816715625e-05,5.816715625e-05,5.816715625e-05
baseline time,5.816715625e-05,5.816715625e-05,5.816715625e-05,5.816715625e-05,5.816715625e-05
gluon compute time,6.032385231375e-05,5.99516293875e-05,5.9759450635e-05,5.96618947325e-05,5.961270890875e-05
gluon communication time,2.9083578125e-05,2.9083578125e-05,2.9083578125e-05,2.9083578125e-05,2.9083578125e-05
gluon time,8.940743043875e-05,8.90352075125e-05,8.884302876e-05,8.87454728575e-05,8.869628703374999e-05
gluon speedup,0.6505852585691784,0.6533051123830277,0.6547182942978271,0.6554380113946761,0.6558014793546736

Round 1
master access (median),0.0,0.0,0.0,0.0,0.0
master access (average),13646.875,2957.375,363,181.5,14.5
master access (max),109173,47318,11616,11616,1856
mirror access (median),139149.5,83275.0,4459.5,3.0,0.0
mirror access (average),532808.5,275276.5,141068.21875,71954.6875,36850.21875
mirror access (max),2122909,1325074,695581,410791,227967
mirror write (median),23796.0,15421.5,2179.0,1.5,0.0
mirror write (average),25914.625,19286.5625,12452.21875,7646.6875,4657.2890625
mirror write (max),89144,59158,34952,19788,15409
mirror nodes sending updates (median),23796.0,15421.5,2179.0,1.5,0.0
mirror nodes sending updates (average),25914.625,19286.5625,12452.21875,7646.6875,4657.2890625
mirror nodes sending updates (max),89144,59158,34952,19788,15409
master nodes receiving updates (median),0.0,0.0,0.0,0.0,0.0
master nodes receiving updates (average),21253.625,9907,4225.8125,1912.75,912.8359375
master nodes receiving updates (max),99190,90190,73544,64882,62804

baseline local time,4.030179233385231e-05,3.3468022965105734e-05,2.3799734954523917e-05,2.1835342454351626e-05,1.4945570765586914e-05
baseline remote time,3.827481642588116e-05,3.21482281031306e-05,2.3008043280785074e-05,2.1184960665870728e-05,1.4538966657067299e-05
baseline time,4.030179233385231e-05,3.3468022965105734e-05,2.3799734954523917e-05,2.1835342454351626e-05,1.4945570765586914e-05
gluon compute time,3.472719631375e-05,2.15896133875e-05,1.1325546635e-05,6.6713507325e-06,3.69698090875e-06
gluon communication time,2.1094613312499996e-06,2.1157023859375e-06,1.87840569e-06,1.7789934753124999e-06,1.868526944375e-06
gluon time,3.6836657645e-05,2.37053157734375e-05,1.3203952325e-05,8.4503442078125e-06,5.565507853125e-06
gluon speedup,1.094067565039323,1.4118362010012806,1.8024705306957336,2.5839589391121427,2.685392089994997

Round 2
master access (median),0.0,0.0,0.0,0.0,0.0
master access (average),0,0,0,0,0
master access (max),0,0,0,0,0
mirror access (median),0.0,0.0,0.0,0.0,0.0
mirror access (average),0,0,0,0,0
mirror access (max),0,0,0,0,0
mirror write (median),0.0,0.0,0.0,0.0,0.0
mirror write (average),0,0,0,0,0
mirror write (max),0,0,0,0,0
mirror nodes sending updates (median),0.0,0.0,0.0,0.0,0.0
mirror nodes sending updates (average),0,0,0,0,0
mirror nodes sending updates (max),0,0,0,0,0
master nodes receiving updates (median),0.0,0.0,0.0,0.0,0.0
master nodes receiving updates (average),0,0,0,0,0
master nodes receiving updates (max),0,0,0,0,0

baseline local time,7.606523137499999e-07,3.884293875e-07,1.9625063499999997e-07,9.86947325e-08,4.950890875e-08
baseline remote time,0.0,0.0,0.0,0.0,0.0
