rmat20
hosts,8,16,32,64,128
total master nodes,1048444,1048444,1048444,1048444,1048444
total mirror nodes,1905979,2964038,4263521,5779915,7453886
replication factor,2.81791,3.82708,5.06652,6.51285,8.10947

master nodes (median),99774.0,57840.5,17365.0,8310.5,2996.5
master nodes (average),131055.5,65527.75,32763.875,16381.9375,8190.96875
master nodes (max),454396,309883,228696,161015,114547
mirror nodes (median),227501.5,149427.0,127719.5,95522.0,55926.0
mirror nodes (average),238247.375,185252.375,133235.03125,90311.171875,58233.484375
mirror nodes (max),539230,415223,324323,197618,117262

rounds,6,6,7,7,7
baseline time,5.604065415630502e-05,3.209182434644817e-05,1.94738817042267e-05,1.1367595042464475e-05,7.167559912793011e-06
gluon time,5.790331844515626e-05,3.5306342639999995e-05,2.3446073876874997e-05,1.4705338873437502e-05,9.73256696453125e-06
gluon speedup,0.9678314760039964,0.9089535178897299,0.8305817769956746,0.7730250312692861,0.7364511273247861

Round 0
master access (median),0.0,0.0,0.0,0.0,0.0
master access (average),1296.125,304.3125,71.125,16.75,4.5625
master access (max),10369,4869,2276,1072,584
mirror access (median),0.0,0.0,0.0,0.0,0.0
mirror access (average),12138.375,6412.9375,3287.5,1662.5625,835.09375
mirror access (max),97107,102607,105200,106404,106892
mirror write (median),0.0,0.0,0.0,0.0,0.0
mirror write (average),4503.125,2328.6875,1176.9375,589.96875,295.140625
mirror write (max),36025,37259,37662,37758,37778
mirror nodes sending updates (median),0.0,0.0,0.0,0.0,0.0
mirror nodes sending updates (average),4503.125,2328.6875,1176.9375,589.96875,295.140625
mirror nodes sending updates (max),36025,37259,37662,37758,37778
master nodes receiving updates (median),4940.0,2136.0,1238.5,657.5,298.0
master nodes receiving updates (average),4503.125,2328.6875,1176.9375,589.96875,295.140625
master nodes receiving updates (max),6942,3525,1966,1010,520

baseline local time,7.067014226474671e-07,3.9784845591082023e-07,2.4577573858265625e-07,1.482309358960353e-07,9.373834633086716e-08
baseline remote time,1.517296875e-06,1.603234375e-06,1.64375e-06,1.6625625e-06,1.6701875e-06
baseline time,1.517296875e-06,1.603234375e-06,1.64375e-06,1.6625625e-06,1.6701875e-06
gluon compute time,1.961013875e-06,1.88424134375e-06,1.84111075e-06,1.80515521875e-06,1.78046909375e-06
gluon communication time,5.62890625e-07,5.82171875e-07,5.8846875e-07,5.8996875e-07,5.9028125e-07
gluon time,2.5239045e-06,2.46641321875e-06,2.4295795e-06,2.39512396875e-06,2.37075034375e-06
gluon speedup,0.6011704781222903,0.6500266714482391,0.6765574042751018,0.6941446545949272,0.7044974197317355

Round 1
master access (median),257401.5,63603.0,15539.5,3750.5,918.0
master access (average),255929.25,62365.125,14860.6875,3571.875,862.2265625
master access (max),264478,66765,16581,4273,1185
mirror access (median),1877566.0,1022984.0,526774.5,256282.5,138328.0
mirror access (average),1832590.375,977329.1875,498555.625,254603.65625,130327.328125
