data_200
hosts,8,16,32,64,128
replication factor,2.36108,2.50133,2.63464,2.75481,2.90411
total master nodes,18677578,18677578,18677578,18677578,18677578
master nodes imbalance,2.1902749917574966,2.2369409995236,2.2603907208953964,2.273507625025043,2.280950131756912
total mirror nodes,25421757,28041289,30531190,32775677,35564099
mirror nodes imbalance,2.7627934607352276,2.6205830980166427,2.451343429456893,4.025371375242684,9.486312587308904

rounds,4,4,4,4,4
total master access,109177,47320,11618,11618,1858
total mirror access,7985166,8127122,8236881,8327798,8439526
total mirror write,2068666,2169934,2259820,2350737,2457482
baseline time,0.0007322221796275001,0.000631748358775,0.00055267737627,0.0005168835144649999,0.0004939321428175
gluon time,0.0001176831829477292,9.232727921744944e-05,7.602296427086406e-05,7.034319372073066e-05,6.777869207494369e-05
gluon speedup,6.2219780370210405,6.842488635315513,7.269874064642526,7.3480245511325215,7.287425113948105

Round 0
master access,2,2,2,2,2
max host master access,2,2,2,2,2
mirror access,3722698,3722698,3722698,3722698,3722698
max host mirror access,3722698,3722698,3722698,3722698,3722698
mirror write,1861349,1861349,1861349,1861349,1861349
mirror update_ratio,0.07321873936565439,0.06637886724822101,0.06096549135490625,0.05679055843758773,0.052337864653902805
baseline local time,7.6068431375e-07,3.884613875e-07,1.9628263499999998e-07,9.872673249999999e-08,4.954090875e-08
baseline remote time,0.00046533725,0.00046533725,0.00046533725,0.00046533725,0.00046533725
baseline time,0.00046533725,0.00046533725,0.00046533725,0.00046533725,0.00046533725
gluon compute time,6.032385231375e-05,5.99516293875e-05,5.9759450635e-05,5.96618947325e-05,5.961270890875e-05
gluon communication time,1.742343948597782e-05,7.936355599026223e-06,3.590885651482901e-06,2.8716779515631534e-06,3.287426539604656e-06
gluon time,7.774729179972783e-05,6.788798498652622e-05,6.33503362864829e-05,6.253357268406315e-05,6.290013544835465e-05
gluon speedup,5.9852534953716425,6.854486108143523,7.345458245014704,7.441398756329053,7.398032558802262

Round 1
master access,109175,47318,11616,11616,1856
max host master access,109173,47318,11616,11616,1856
mirror access,4262468,4404424,4514183,4605100,4716828
max host mirror access,2122909,1325074,695581,410791,227967
mirror write,207317,308585,398471,489388,596133
mirror update_ratio,0.008155101160002435,0.01100466529908807,0.013051276416019159,0.014931438334591837,0.016762212927143184
baseline local time,2.5074203137499996e-06,1.1455173875000001e-06,3.8210663499999994e-07,2.845507325e-07,7.920490875e-08
baseline remote time,0.000265363625,0.00016563425,8.6947625e-05,5.1348875e-05,2.8495875e-05
baseline time,0.000265363625,0.00016563425,8.6947625e-05,5.1348875e-05,2.8495875e-05
gluon compute time,3.647396431375e-05,2.23467013875e-05,1.1511402635e-05,6.8572067325e-06,3.72667690875e-06
gluon communication time,1.9406222067513745e-06,1.315734068423228e-06,7.687240793811601e-07,7.550248391675007e-07,1.0528619003390243e-06
gluon time,3.841458652050138e-05,2.3662435455923227e-05,1.2280126714381161e-05,7.612231571667501e-06,4.779538809089024e-06
gluon speedup,6.907887056349775,6.999881745415944,7.080352428137107,6.745574476625091,5.962055365218656

Round 2
master access,0,0,0,0,0
max host master access,0,0,0,0,0
mirror access,0,0,0,0,0
max host mirror access,0,0,0,0,0
mirror write,0,0,0,0,0
mirror update_ratio,0.0,0.0,0.0,0.0,0.0
baseline local time,7.606523137499999e-07,3.884293875e-07,1.9625063499999997e-07,9.86947325e-08,4.950890875e-08
baseline remote time,0.0,0.0,0.0,0.0,0.0
baseline time,7.606523137499999e-07,3.884293875e-07,1.9625063499999997e-07,9.86947325e-08,4.950890875e-08
gluon compute time,7.606523137499999e-07,3.884293875e-07,1.9625063499999997e-07,9.86947325e-08,4.950890875e-08
gluon communication time,0.0,0.0,0.0,0.0,0.0
gluon time,7.606523137499999e-07,3.884293875e-07,1.9625063499999997e-07,9.86947325e-08,4.950890875e-08
gluon speedup,1.0,1.0,1.0,1.0,1.0

Round 3
master access,0,0,0,0,0
max host master access,0,0,0,0,0
mirror access,0,0,0,0,0
max host mirror access,0,0,0,0,0
mirror write,0,0,0,0,0
mirror update_ratio,0.0,0.0,0.0,0.0,0.0
baseline local time,7.606523137499999e-07,3.884293875e-07,1.9625063499999997e-07,9.86947325e-08,4.950890875e-08
baseline remote time,0.0,0.0,0.0,0.0,0.0
baseline time,7.606523137499999e-07,3.884293875e-07,1.9625063499999997e-07,9.86947325e-08,4.950890875e-08
gluon compute time,7.606523137499999e-07,3.884293875e-07,1.9625063499999997e-07,9.86947325e-08,4.950890875e-08
gluon communication time,0.0,0.0,0.0,0.0,0.0
gluon time,7.606523137499999e-07,3.884293875e-07,1.9625063499999997e-07,9.86947325e-08,4.950890875e-08
gluon speedup,1.0,1.0,1.0,1.0,1.0

