rmat16
hosts,8,16,32,64
replication factor,3.31401,4.60181,6.14947,7.88595
total master nodes,65524,65524,65524,65524
master nodes imbalance,3.483548012941823,4.868078871863744,6.992979671570722,9.9705756669312
total mirror nodes,151623,236005,337414,451195
mirror nodes imbalance,2.230954406653344,2.1933094637825468,2.2418038374222764,1.9947738782566296

rounds,6,7,7,7
total master access,131860,63569,31177,15333
total mirror access,1093342,1232628,1357109,1478859
total mirror write,159799,242456,341566,451876
baseline time,2.462308125e-05,1.6304664e-05,1.0834711906250001e-05,7.190301000000001e-06
gluon time,5.148807862383221e-06,3.726927355919844e-06,2.85997899381602e-06,2.225412472223178e-06
gluon speedup,4.78228784373452,4.374827422944454,3.788388631412091,3.2309969903318274

Round 0
master access,1645,726,345,166
max host master access,1645,726,345,166
mirror access,17844,18763,19144,19323
max host mirror access,17844,18763,19144,19323
mirror write,6200,6349,6387,6394
mirror update_ratio,0.040890893861749204,0.026901972415838648,0.01892926790233956,0.014171256330411462
baseline local time,4.1477625e-08,2.2207e-08,1.3126968750000001e-08,8.078999999999999e-09
baseline remote time,2.2305e-06,2.345375e-06,2.393e-06,2.415375e-06
baseline time,2.2305e-06,2.345375e-06,2.393e-06,2.415375e-06
gluon compute time,3.26981625e-07,3.22415e-07,3.1943096875e-07,3.17247e-07
gluon communication time,6.041329105173357e-08,3.856300406562465e-08,2.6043793713833266e-08,1.782473416909728e-08
gluon time,3.8739491605173357e-07,3.609780040656247e-07,3.454747624638333e-07,3.3507173416909725e-07
gluon speedup,5.757690427982112,6.497279539430381,6.9266998924429855,7.20853105079003

Round 1
master access,111950,51547,24388,11680
max host master access,15005,3743,1005,261
mirror access,920722,990596,1041612,1100857
max host mirror access,131449,77031,42568,23847
mirror write,143259,210432,283446,359876
mirror update_ratio,0.944836865119408,0.8916421262261393,0.8400540582192796,0.7976063564534182
baseline local time,2.55237625e-07,7.0479e-08,2.3686968749999998e-08,9.598999999999999e-09
baseline remote time,1.6431125e-05,9.628875e-06,5.321e-06,2.980875e-06
baseline time,1.6431125e-05,9.628875e-06,5.321e-06,2.980875e-06
gluon compute time,2.358421625e-06,1.302975e-06,7.047749687500001e-07,3.91151e-07
gluon communication time,1.3959270423839188e-06,1.2781367257107458e-06,1.1557866217333932e-06,1.0032364769843687e-06
gluon time,3.7543486673839188e-06,2.581111725710746e-06,1.8605615904833933e-06,1.3943874769843688e-06
gluon speedup,4.376558081231553,3.7305146089127748,2.859889200774885,2.1377666173872387

Round 2
master access,18069,11161,6380,3444
max host master access,5326,1568,504,147
mirror access,153101,220502,292419,353821
max host mirror access,46819,33716,24102,13663
mirror write,10243,25395,51136,84564
mirror update_ratio,0.06755571384288664,0.10760365246499015,0.1515526919452068,0.18742228969735925
baseline local time,1.00373625e-07,3.5679e-08,1.567096875e-08,7.775e-09
baseline remote time,5.852375e-06,4.2145e-06,3.01275e-06,1.707875e-06
baseline time,5.852375e-06,4.2145e-06,3.01275e-06,1.707875e-06
gluon compute time,8.49477625e-07,5.75135e-07,4.0130296874999997e-07,2.26383e-07
gluon communication time,9.980860326498497e-08,1.5424594239195745e-07,2.0851345472844496e-07,2.3574144827581212e-07
gluon time,9.49286228264985e-07,7.293809423919575e-07,6.098164234784449e-07,4.621244482758121e-07
gluon speedup,6.16502675983872,5.778187713787559,4.940421221873653,3.6957036278259836

Round 3
master access,194,134,63,41
max host master access,76,31,15,5
mirror access,1666,2747,3902,4804
max host mirror access,630,673,681,559
mirror write,96,278,591,1029
mirror update_ratio,0.0006331493243109554,0.001177941145314718,0.0017515574338942664,0.0022806103791043783
baseline local time,1.6373624999999998e-08,1.1087e-08,7.84696875e-09,5.503e-09
baseline remote time,7.875e-08,8.4125e-08,8.5125e-08,6.9875e-08
baseline time,7.875e-08,8.4125e-08,8.5125e-08,6.9875e-08
gluon compute time,2.6453625e-08,2.1855e-08,1.874296875e-08,1.4447e-08
gluon communication time,9.354316033816809e-10,1.6885360104337144e-09,2.4098766376820822e-09,2.8685723271819052e-09
gluon time,2.738905660338168e-08,2.3543536010433715e-08,2.115284538768208e-08,1.7315572327181905e-08
gluon speedup,2.8752359433320853,3.5731675973701904,4.024281293597067,4.035384951747194

Round 4
master access,2,0,0,1
max host master access,1,0,0,1
mirror access,9,19,31,53
max host mirror access,3,6,6,10
mirror write,1,2,6,13
mirror update_ratio,6.595305461572452e-06,8.474396728882863e-06,1.7782308973545852e-05,2.8812376023670474e-05
baseline local time,1.5173625e-08,1.0591e-08,7.60696875e-09,5.439e-09
baseline remote time,3.75e-10,7.5e-10,7.5e-10,1.25e-09
baseline time,1.5173625e-08,1.0591e-08,7.60696875e-09,5.439e-09
gluon compute time,1.5221625e-08,1.0687e-08,7.70296875e-09,5.599e-09
gluon communication time,9.74407920189251e-12,1.2147741082256938e-11,2.4465752666823167e-11,3.624046671852748e-11
gluon time,1.523136907920189e-08,1.0699147741082257e-08,7.727434502666824e-09,5.635240466718528e-09
gluon speedup,0.9962088713823672,0.9898919293667668,0.9844106407339657,0.9651762035928164

Round 5
master access,0,1,1,1
max host master access,0,1,1,1
mirror access,0,1,1,1
max host mirror access,0,1,1,1
mirror write,0,0,0,0
mirror update_ratio,0.0,0.0,0.0,0.0
baseline local time,1.5157625e-08,1.0607e-08,7.62296875e-09,5.439e-09
baseline remote time,0.0,1.25e-10,1.25e-10,1.25e-10
baseline time,1.5157625e-08,1.0607e-08,7.62296875e-09,5.439e-09
gluon compute time,1.5157625e-08,1.0623e-08,7.63896875e-09,5.455e-09
gluon communication time,0.0,0.0,0.0,0.0
gluon time,1.5157625e-08,1.0623e-08,7.63896875e-09,5.455e-09
gluon speedup,1.0,0.9984938341334839,0.9979054764427463,0.9970669110907424

Round 6
master access,x,0,0,0
max host master access,x,0,0,0
mirror access,x,0,0,0
max host mirror access,x,0,0,0
mirror write,x,0,0,0
mirror update_ratio,x,0.0,0.0,0.0
baseline local time,x,1.0591e-08,7.60696875e-09,5.423e-09
baseline remote time,x,0.0,0.0,0.0
baseline time,x,1.0591e-08,7.60696875e-09,5.423e-09
gluon compute time,x,1.0591e-08,7.60696875e-09,5.423e-09
gluon communication time,x,0.0,0.0,0.0
gluon time,x,1.0591e-08,7.60696875e-09,5.423e-09
gluon speedup,x,1.0,1.0,1.0

