rmat20
hosts,8,16,32,64,128
replication factor,2.81791,3.82708,5.06652,6.51285,8.10947
total master nodes,1048444,1048444,1048444,1048444,1048444
master nodes imbalance,3.467202826283521,4.729034645627234,6.980126740197855,9.828812983812202,13.984548530965888
total mirror nodes,1905979,2964038,4263521,5779915,7453886
mirror nodes imbalance,2.2633197952338406,2.2413909673222814,2.4342171646392736,2.188189964731315,2.0136524760373313

rounds,6,6,7,7,7
total master access,2361593,1206361,610453,307337,154131
total mirror access,16972945,19048256,20769017,22394895,24062770
total mirror write,2083291,3148697,4442454,5899527,7504651
baseline time,0.00035358458074999995,0.0002193867056875,0.00014400139125,8.693352465625e-05,5.543621628125002e-05
gluon time,7.449484188805269e-05,5.0351645294000146e-05,3.858817276906912e-05,2.855537216815872e-05,2.215496715939084e-05
gluon speedup,4.746430380795359,4.357091102118204,3.7317494174128476,3.0443842280993656,2.5022025933246415

Round 0
master access,10369,4869,2276,1072,584
max host master access,10369,4869,2276,1072,584
mirror access,97107,102607,105200,106404,106892
max host mirror access,97107,102607,105200,106404,106892
mirror write,36025,37259,37662,37758,37778
mirror update_ratio,0.018901047703043947,0.012570351662158178,0.008833543918277875,0.006532622019527969,0.005068228840634268
baseline local time,4.07301875e-07,2.4252934375e-07,1.5791075e-07,1.0269121875e-07,7.019709375e-08
baseline remote time,1.2138375e-05,1.2825875e-05,1.315e-05,1.33005e-05,1.33615e-05
baseline time,1.2138375e-05,1.2825875e-05,1.315e-05,1.33005e-05,1.33615e-05
gluon compute time,1.961013875e-06,1.88424134375e-06,1.84111075e-06,1.80515521875e-06,1.78046909375e-06
gluon communication time,3.7815312826477345e-07,2.3293398593020027e-07,1.599275849256248e-07,1.0703972247375075e-07,7.356182034283202e-08
gluon time,2.3391670032647734e-06,2.1171753296802005e-06,2.001038334925625e-06,1.912194941223751e-06,1.854030914092832e-06
gluon speedup,5.189186998217092,6.058012683312983,6.571588245204089,6.955619279846047,7.20672988699205

Round 1
master access,2047434,997842,475542,228600,110365
max host master access,264478,66765,16581,4273,1185
mirror access,14660723,15637267,15953780,16294634,16681898
max host mirror access,2022527,1159760,637881,352341,191305
mirror write,1927960,2806879,3736557,4675778,5599519
mirror update_ratio,1.0115326559211828,0.9469780751798729,0.8764016877130428,0.8089700281059496,0.7512214434189093
baseline local time,4.473045875e-06,1.23286534375e-06,3.8679075000000006e-07,1.5390721874999998e-07,7.981309375e-08
baseline remote time,0.000252815875,0.00014497,7.9735125e-05,4.4042625e-05,2.3913125e-05
baseline time,0.000252815875,0.00014497,7.9735125e-05,4.4042625e-05,2.3913125e-05
